REQUIRINGID,RELATIONTYPE,REQUIREDID
key_19450,optional,key_20113
key_19459,optional,key_20229
key_19492,optional,key_20359
key_19520,optional,key_19600
key_19521,optional,key_20177
key_19565,optional,key_19796
key_19605,optional,key_19680
key_19605,optional,key_20113
key_19627,optional,key_19680
key_19627,optional,key_20113
key_19664,optional,key_20377
key_19672,optional,key_19858
key_19703,optional,key_19454
key_19716,optional,key_20384
key_19721,optional,key_20242
key_19724,optional,key_20036
key_19750,optional,key_19753
key_19783,optional,key_20396
key_19838,optional,key_19892
key_19838,optional,key_20052
key_19855,optional,key_19983
key_19860,optional,key_19827
key_19888,optional,key_20370
key_19928,optional,key_19556
key_19965,optional,key_19858
key_20000,optional,key_20339
key_20088,optional,key_19741
key_20120,optional,key_19705
key_20125,optional,key_19983
key_20169,optional,key_20203
key_20224,optional,key_20156
key_20228,optional,key_20417
key_20245,optional,key_20043
key_20283,optional,key_20082
key_20292,optional,key_20396
key_20346,optional,key_19611
key_20382,optional,key_19777
key_20412,optional,key_19728